source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,parallax_error,parallax_over_error,ruwe
6227443304915069056,226.0172005141403,-25.2821590562471,12.538654525627177,2.3034124,1.9100549,0.2984149,42.017525,1.3680634
1041808368494264576,127.56491125025244,60.71768972076183,17.933453100456937,3.1493552,1.1214743,0.14564699,123.129585,1.2167418
1220404653534258816,239.39649360413006,26.8776086454839,13.492248317949882,3.7562327,1.4142745,0.10230984,131.87636,1.0923059
2630155547353593216,348.9745548677205,-9.087810189229959,22.092365568710097,3.924721,1.2712572,0.1301702,169.71909,0.99678075
4693818888483537664,35.43664437891122,-68.65940430513912,23.2796024302128,4.0532403,0.06977558,0.12000565,193.98755,1.0010301
693818676378107776,141.16341687303495,26.18211353356537,16.312142074372147,4.0808535,1.3888447,0.17130868,95.22076,0.8619055
21859669845327488,41.236830226139006,10.113961719979088,37.5923954771885,4.1537447,0.44148636,0.24399392,154.07103,1.3437456
145674574739951872,66.34285323849276,22.29367359328652,20.91185281250576,4.167236,0.22083235,0.157056,133.14902,1.1911019
4825052919883631616,76.10236314753045,-35.48316608514274,17.591151769321872,4.194447,1.3698413,0.08342374,210.86505,1.1096022
128855517166594048,41.978024427837525,29.24656343803326,19.038950218744798,4.197216,1.2571971,0.12617847,150.88905,1.2475731
309966797615673856,17.915448478226075,30.08951923458857,18.965310858421024,4.1980224,1.2436593,0.15062648,125.90954,1.1508007
4161585441691080448,265.35330605241717,-12.875551136885944,20.466459696134443,4.2055626,0.14438915,0.1534911,133.33972,0.87905556
3851460524814895744,144.6129672839531,4.649066398035406,10.335831777206447,4.2132688,1.5238717,0.13495319,76.58828,0.9637307
6054346605287699968,180.75473957301676,-63.312900420844265,14.587790943945574,4.220316,0.43641424,0.12966554,112.50322,0.83805025
2272649822619848064,325.48200314844524,71.31187298142444,18.18084592982094,4.234787,1.2448437,0.11923475,152.47942,1.0518316
2186410658887682432,303.34994008936434,56.56808503876221,21.359002269093875,4.2358556,0.20814705,0.12791549,166.97745,1.0023019
4430238051199001216,236.60988904592512,7.352758689332476,83.921443569609,4.246856,0.7825,0.15005308,559.2784,1.130845
191419859094194816,87.29332785167465,39.18096092052109,15.54855601736708,4.2502503,1.126168,0.12151545,127.95538,0.954796
2612171866450404992,331.609473816884,-13.86993196356307,15.494008085988549,4.250913,-0.07257128,0.21031179,73.67161,1.0849314
6895103083539482496,317.3989590718655,-11.371759260894493,20.084233986479735,4.2510796,1.1062934,0.11367826,176.67612,0.92540824
2839853133694170880,351.3458577723543,23.404261624701185,18.706109629965475,4.2580924,0.7842891,0.13560155,137.94908,1.0514202
4660016396371388672,86.1928934804897,-65.73547602893706,21.871977919129183,4.2614965,0.3424406,0.10171897,215.02359,0.81904733
6601750220152445440,337.87668566970035,-32.34615910715257,22.08361658789664,4.263408,0.027941227,0.21172595,104.30283,1.0975473
3188462022653817472,73.22353884170033,-5.452584502474133,14.935419827443406,4.2812915,0.40116787,0.12496453,119.51727,1.1276659
411601907281189504,17.777433589034587,55.1498128843095,23.884435517084235,4.288004,0.23993778,0.11355732,210.32935,0.95225763
6630558558672843392,272.1452571654302,-63.66941131779262,24.36165521954371,4.289329,0.31520987,0.1345722,181.03038,1.1175325
5864836602250358528,201.00231056017168,-64.53576464230589,12.891945623475184,4.29425,1.0184269,0.08799782,146.50302,0.9343028
3314063977537054208,66.3729376285106,17.927768735352878,21.086509524006694,4.295662,0.08517885,0.13814656,152.63867,1.0475206
4141650196336522752,260.20712853781777,-12.846869374874107,15.979505765352085,4.2963223,0.077516556,0.15876743,100.64725,1.0195657
798883781282661248,143.55579627904467,36.397457046512834,17.07380535204929,4.297111,1.0780518,0.13408822,127.33263,0.977727
5409223585178017152,144.20553417462855,-49.35483376770194,30.631907201506795,4.2990227,0.23794603,0.092881545,329.7954,0.90041703
3676091134604409728,189.8111824278454,-7.9956734410311885,10.352648623779038,4.300346,1.3487484,0.11512639,89.9242,0.94930154
6541802406664428672,346.719415253801,-43.52041348242113,25.208836182094913,4.309135,0.5236678,0.16000733,157.548,1.0942858
4512265810537057664,281.7556053210387,18.182027709302517,34.998748633555714,4.3116574,0.16619587,0.1743093,200.78532,1.3211253
5044368071868204160,44.568054513155744,-40.30462235988498,19.526953780935603,4.3152275,0.1421957,0.13719603,142.32884,0.86246175
6591574171318785664,326.23687217868667,-33.02620089292468,15.334646486948524,4.3158436,-0.040712833,0.14166352,108.24696,0.964428
6316829270922140032,233.54598102027182,-10.065575353737525,34.36081942983319,4.316157,1.1916356,0.12852548,267.34634,0.9769982
5394951821153092864,164.17979302441142,-37.13832049306377,15.713189973044852,4.3193483,1.1788831,0.11557086,135.96152,1.0527511
4908022136034353152,10.838426217030054,-57.463011819347656,12.461432159096473,4.3210692,0.027846813,0.123202614,101.14584,0.94025034
1724851173788449536,263.05490751446143,86.58669984133707,17.880210502627126,4.3210907,0.056266785,0.09215321,194.027,0.8812096
